number,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,explanation,reference_url,source_file,test_number
19,How many number of consumer accounts can be added to a single share?,10,50,100,Unlimited,,,4,Snowflake does not place any hard limits on the number of shares you can create or the number of accounts you can add to a share.Refer Link for details –https://docs.snowflake.com/en/user-guide/data-sharing-intro.html,https://docs.snowflake.com/en/user-guide/data-sharing-intro.html,Test 1,1
20,"When a data is shared with an existing snowflake customer, the compute is charged to",Provider,Consumer,No Charges applied,,,,2,"Since the consumer is also a snowflake customer they will use there own compute resources to execute the query on shared database, and hence the charges will be applied to the consumer only.",,Test 1,1
21,"When a data is shared with an non snowflake customer, the compute is charged to",Provider,Consumer,No Charges applied,,,,1,"Since the consumer is not a snowflake customer, the provider himself needs to create a reader account for the consumer, and that reader account uses the warehouse provided by provider only to execute the queries.",,Test 1,1
22,Which of the below is not a role available when Snowflake account is created initially,Accountadmin,Sysadmin,Useradmin,Developer,,,4,"There is no default developer role available as such when snowflake account is created. Only roles available are PUBLIC, USERADMIN, SYSADMIN, SECURITYADMIN, ACCOUNTADMIN",,Test 1,1
23,"In the Snowflake container hierarchy, what container is represented as a URL (for example:https://AB12345.snowflakecomputing.com)?",Database,Schema,Role,Account,,,4,"The Snowflake URL points to the snowflake account, in which a user can login and access Database, Schema and role",,Test 1,1
24,MFA can be used for connecting to Snowflake via the Snowflake JDBC driver,TRUE,FALSE,,,,,1,Details available at link –https://docs.snowflake.com/en/user-guide/security-mfa.html#using-mfa-with-jdbc,https://docs.snowflake.com/en/user-guide/security-mfa.html#using-mfa-with-jdbc,Test 1,1
25,Which of the following Snowflake Editions automatically store data in an encrypted state?,Standard,Enterprise,Business Critical,,,,"1, 2, 3",Snowflake stores data in encrypted format in all editions.,,Test 1,1
26,What are the names of the three Snowflake Editions offered when signing up for a trial account?,Free-Tier Basic,Standard,Ultra,Enterprise,Business Critical,,"2, 4, 5",There is no option like Free Tier Basic or Ultra available for snowflake editions.,,Test 1,1
27,Tri-secret requires that customers manage their own keys,TRUE,FALSE,,,,,1,Details for tri-secret secure available at following link –https://docs.snowflake.com/en/user-guide/security-encryption.html#tri-secret-secure-and-customer-managed-keys,https://docs.snowflake.com/en/user-guide/security-encryption.html#tri-secret-secure-and-customer-managed-keys,Test 1,1
28,What functional category does Looker fall into?,Data Integration,Business Intelligence,SQL Editors,Security & Governance,Advanced Analytics,Programmatic Interfaces,2,Refer Link fpr the BI tool list that provide native connectivity to snowflake –https://docs.snowflake.com/en/user-guide/ecosystem-bi.html,https://docs.snowflake.com/en/user-guide/ecosystem-bi.html,Test 1,1
29,Which statements about Data Integration Tech Partners are true?,Data Integration Tech Partner software can be used to extract data from other systems.,Data Integration Tech Partner software can be used to carry out transformations.,Snowflake can carry out transformations after loading files staged by partner software (ELT).,Snowflake must be used to extract data from other databases but Data Integration Tech Partner software can load data,Snowflake can be used to extract data from other databases but Data Integration Tech Partner software must be used to do transformations.,"Data Integration Tech Partner software should be used to deliver data to stages, Snowflake is then used to load the data","1, 2, 3, 6",Refer link for details of data integration tech partners –https://docs.snowflake.com/en/user-guide/ecosystem-etl.html,https://docs.snowflake.com/en/user-guide/ecosystem-etl.html,Test 1,1
30,Query execution is performed by which layers of Snowflake architecture,Storage Layer,Cloud Services Layer,Query Processing Layer,,,,3,Correct,,Test 1,1
31,Which file format option should be enabled while loading a JSON file to remove the outer most array structure and load the records in separate table rows,REMOVE_OUTER_ARRAY,ELIMINATE_OUTER_ARRAY,STRIP_OUTER_ARRAY,READ_INNER_ARRAY,,,3,"Refer Link –https://docs.snowflake.com/en/user-guide/semistructured-considerations.htmlIn general, JSON and Avro data sets are a simple concatenation of multiple documents. The JSON or Avro output from some software is composed of a single huge array containing multiple records. There is no need to separate the documents with line breaks or commas, though both are supported.Instead, we recommend enabling the STRIP_OUTER_ARRAY file format option for the COPY INTO",https://docs.snowflake.com/en/user-guide/semistructured-considerations.html,Test 1,1
32,To configure an External Stage you need to define the stage object in Snowflake. You also need two additional components. What are they?,Stage Admin Password,Cloud storage location (e.g. S3 Bucket),Stage Admin Username,Cloud access credentials (e.g. IAM User and Policy),Snowflake External Stage Password Authentication Certificate,,"2, 4",Below is sample command for creating an external stage –create or replace stage my_s3_stage url=‘s3://mybucket/encrypted_files/‘credentials=(aws_key_id=‘1a2b3c‘ aws_secret_key=‘4x5y6z‘)encryption=(master_key = ‘eSxX0jzYfIamtnBKOEOwq80Au6NbSgPH5r4BDDwOaO8=‘)file_format = my_csv_format;,,Test 1,1
33,"Out of below four options, which options require a running warehouse when retrieving data from them?",Results Cache,Local Disk Cache,Warehouse Cache,Metadata Cache,,,"2, 3","Metadata and result cache do not require a running warehouse as the results are fetched from services layer itself, and hence the compute layer is not required.",,Test 1,1
34,Check all true statements about Fail-safe:,The data stored as part of fail-safe is part of storage costs charged to customers,Fail-safe is not available for tables that have Time Travel.,Fail-safe is a reliable way to create Dev/Test/QA and other environments,Only a Snowflake employee can recover data from fail-safe storage,,,"1, 4",Refer Fail Safe section of snowflake documentation –https://docs.snowflake.com/en/user-guide/data-failsafe.html,https://docs.snowflake.com/en/user-guide/data-failsafe.html,Test 1,1
35,"With Snowflake, the customer needs to perform hardware maintenance, upgrades or regular patches",TRUE,FALSE,,,,,2,"Snowflake is a Saas (Software as a service) solution, and customer do not neet to worry about an hardware maintenance or upgrades",,Test 1,1
36,"For databases, schemas, and tables, a clone does not contribute to the overall data storage until operations are performed on the clone that modify existing data or add new data",TRUE,FALSE,,,,,1,Until the clone object is modified it refers to the same underlying partitions as that of orignial object and hence no additional storage is needed for it.,,Test 1,1
37,True or false: The Query Profiler view is only available for completed queries.,FALSE,TRUE,,,,,1,This can be tried out. Execute one query and while the query is executing you can go to query history tab and click on query_id to get the query profiler view even of the executing query.,,Test 1,1
38,Which of the below is role is automatically granted to every user and role in the account,Sysadmin,Developer,Useradmin,Public,,,4,Public is a default role for any new user that is created in Snowflake.,,Test 1,1
39,"With Time Travel,  a Snowflake administrator can, analyze data manipulation over specified periods of time",TRUE,FALSE,,,,,1,"Snowflake Time Travel enables accessing historical data (i.e. data that has been changed or deleted) at any point within a defined period. It serves as a powerful tool for performing the following tasks:Restoring data-related objects (tables, schemas, and databases) that might have been accidentally or intentionally deleted.Duplicating and backing up data from key points in the past.Analyzing data manipulation over specified periods of time.",,Test 1,1
40,Scaling up is a manual process. (e.g. Small to Medium),FALSE,TRUE,,,,,2,"Scale up and Scale down refers to changing the size of the warehouse. The warehouse size is changed to deal with the complexity of the queries being executed on the warehouse. Snowflake do not provide any out of the box capability to increase or decrease the warehouse size based on the type of queries, and hence it has to be done either manually through Snowflake Web UI, or by writing a command / script to manage the warehouse sizes as per the workload.",,Test 1,1
41,True or false: Snowflake caches are automatically invalidated if the underlying data changes.,FALSE,TRUE,,,,,2,This is true because if underlying data changes then the cache gets invalidated to ensure that the query returns the latest and most updated data always.,,Test 1,1
42,"If a table is cloned with COPY GRANTS option specified, then the clone object inherits any explicit access privileges granted on the original table, but does not inherit any future grants defined for the table in the schema",FALSE,TRUE,,,,,2,"This can be tried out, by executing a create clone statement with COPY GRANT option.  When the statement is executed you can see that the clone table will also have same access privilege as that of original object, other than the future grants. Future grants will need to be explicitly specified to the clone object.",,Test 1,1
43,What is the maximum number of consumer accounts that can be added to a Share object?,One,Unlimited,100,10,,,2,"There is a soft limit of 20 consumer accounts, but as such any number of consumer accounts can be added.",,Test 1,1
44,Data can be shared READ-ONLY across Snowflake accounts and Shared Data can also be cloned,FALSE,TRUE,,,,,1,A shared data cannot be cloned by the consumer. It can only be queried.,,Test 1,1
45,Snowflake compute costs depend on which of the following?,The number of rows returned in queries.,The amount of time warehouses have run.,The sizes of running warehouses.,The total number of warehouses in the account,,,"2, 3","Snowflake Compute cost depends only on the size of the warehouse, number of clusters that are running and for the amount of time the warehouse was up and running (i.e. not in suspended state). It doesnt matter how many queries are getting executed or total number of warehouses in the account.",,Test 1,1
46,What technique does Snowflake use to limit the number of micro-partitions scanned by each query?,Indexing,B-Tree,Map Reduce,Pruning,,,4,Refer link for details –https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions.html,https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions.html,Test 1,1
47,How often does Snowflake release new features?,Weekly,Yearly,Never,Monthly,Bi-Annually,,1,Refer Link for details regarding Snowflake Releases –https://docs.snowflake.com/en/user-guide/intro-releases.html,https://docs.snowflake.com/en/user-guide/intro-releases.html,Test 1,1
48,Which of the following techniques can be used in Snowflake to improve query performance?,Index definition,Cluster Keys/Reclustering,Distribution keys,Query Hints,,,2,In Snowflake we can only define cluster keys for improving query performance on huge tables. Rest of the options are not available in snowflake. For details of clustering refer link –https://docs.snowflake.com/en/user-guide/tables-clustering-keys.html,https://docs.snowflake.com/en/user-guide/tables-clustering-keys.html,Test 1,1
49,Data from Fail-Safe can only be accessed / restored by Snowflake Employees,TRUE,FALSE,,,,,1,Fail-safe is not provided as a means for accessing historical data after the Time Travel retention period has ended. It is for use only by Snowflake to recover data that may have been lost or damaged due to extreme operational failures.Refer link for details on fail safe –https://docs.snowflake.com/en/user-guide/data-failsafe.html,https://docs.snowflake.com/en/user-guide/data-failsafe.html,Test 1,1
50,Cloud storage providers must be linked to internal stage objects,TRUE,FALSE,,,,,2,"Cloud storage providers must be linked to external stage objects. For internal stage, there is no need to explicitly specify any cloud storage provider like AWS, Azure, GCP.",,Test 1,1
51,Snowflake Stages can be defined as either External or Internal.,TRUE,FALSE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage.html,https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage.html,Test 1,1
52,The Cloning feature in Snowflake requires less storage because,The cloned data is constantly updated to synchronize with original table data,Only metadata is copied; no physical data is copied,Data is replicated to ensure integrity of data in the original table data,,,,2,There is no data copy that happens while clone is created. Its just one more object that gets created which points to the same underlying data as that of original table. Only when changes are made to clone then it starts incurring storage costs.,,Test 1,1
53,"When data is loaded into Snowflake, Snowflake reorganizes that data into its internal optimized, compressed, columnar format",TRUE,FALSE,,,,,1,"When data is loaded into Snowflake, Snowflake reorganizes that data into its internal optimized, compressed, columnar format. Snowflake stores this optimized data in cloud storage.Snowflake manages all aspects of how this data is stored  the organization, file size, structure, compression, metadata, statistics, and other aspects of data storage are handled by Snowflake. The data objects stored by Snowflake are not directly visible nor accessible by customers; they are only accessible through SQL query operations run using Snowflake.",,Test 1,1
54,Snowflake data warehouse is built on top of Hadoop Big Data Software Platform,TRUE,FALSE,,,,,2,Snowflakes data warehouse is not built on an existing database or big data software platform such as Hadoop. The Snowflake data warehouse uses a new SQL database engine with a unique architecture designed for the cloud.,,Test 1,1
55,"Cloning the table does not include the load history of the source table, and hence the data files that were loaded in source table can be loaded again into its clone tables",FALSE,TRUE,,,,,2,"When a clone of table is created the load history of the cloned table is empty, and hence it will trea the already loaded data files as new files so it can be loaded again in clone table.",,Test 1,1
56,Cloud Services layer of Snowflake provide which all functionalities,Infra Management,Authentication,Database Storage,Metadata Management,Query Processing,,"1, 2, 4","The cloud services layer is a collection of services that coordinate activities across Snowflake. These services tie together all of the different components of Snowflake in order to process user requests, from login to query dispatch. The cloud services layer also runs on compute instances provisioned by Snowflake from the cloud provider.Among the services in this layer:AuthenticationInfrastructure managementMetadata managementQuery parsing and optimizationAccess controlRefer Link for details –https://docs.snowflake.com/en/user-guide/intro-key-concepts.html#cloud-services",https://docs.snowflake.com/en/user-guide/intro-key-concepts.html#cloud-services,Test 1,1
57,Which of the following database objects can be cloned in Snowflake?,All of the above,Schemas,Tables,Databases,,,1,Refer link for details –https://docs.snowflake.com/en/sql-reference/sql/create-clone.html,https://docs.snowflake.com/en/sql-reference/sql/create-clone.html,Test 1,1
58,Snowflake is supported on which cloud providers,GCP,AWS,Alibaba Cloud,IBM Cloud,Azure,,"1, 2, 5","Refer Link –https://docs.snowflake.com/en/user-guide/intro-cloud-platforms.htmlSnowflake is provided as Software-as-a-Service (SaaS) that runs completely on cloud infrastructure. This means that all three layers of Snowflakes architecture (storage, compute, and cloud services) are deployed and managed entirely on a selected cloud platform.A Snowflake account can be hosted on any of the following cloud platforms:Amazon Web Services (AWS)Google Cloud Platform (GCP)Microsoft Azure (Azure)On each platform, Snowflake provides one or more regions where the account is provisioned.",https://docs.snowflake.com/en/user-guide/intro-cloud-platforms.html,Test 1,1
59,The number of load operations that run in parallel cannot exceed the number of data files to be loaded,FALSE,TRUE,,,,,2,"The number of load operations that run in parallel cannot exceed the number of data files to be loaded. To optimize the number of parallel operations for a load, we recommend aiming to produce data files roughly 100-250 MB (or larger) in size compressed.Refer link for details –https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare.html",https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare.html,Test 1,1
60,Different editions of snowflake Instances require separate accounts,FALSE,TRUE,,,,,2,Same account cannot have different editions hosted. Will need to go for different accounts for different editions.,,Test 1,1
1,"If retrieval of data from fail safe is required, you must",Retrieval from Fail Safe is not possible,Contact Snowflake Support,Query the Fail Safe DB and retrive the data by yourself,Download it directly from the underlying cloud storage of Snowflake,,,2,Failsafe data can not be retrieved by Snowflake customer and support must be engaged to retrieve this data.,,Test 2,2
2,You have a virtual warehouse named BI_warehouse which is sized as Medium. You need to resize it to X-LARGE for future queries. What is the best way to make this change.,Drop and recreate the same warehouse with X-LARGE size,It is not permitted to resize the warehouse once its created,Alter the existing warehouse either by using an ALTER command or through the Snowflake Web UI to change the size,,,,3,Please see the below link for detailed syntaxhttps://docs.snowflake.net/manuals/sql-reference/sql/alter-warehouse.html,https://docs.snowflake.net/manuals/sql-reference/sql/alter-warehouse.html,Test 2,2
3,Micro partitions are immutable which means once created they cannot be changed.,TRUE,FALSE,,,,,1,"Micro partitions are immutable which means once created they cannot be changed. If a row is updated in snowflake, the micro partition holding the row is copied into a new micro partition and the updated row is inserted in that micro partition. The olde micro partition is marked for deletion. Refer Link –https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions.html",https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions.html,Test 2,2
4,"When a table which has time traveled enabled is dropped, and if a table with same name is created after that, what happens?",The table with same name cannot be created till the time time travel retention period of dropped object is over,The table with same name cannot be created till the time time travel retention period and fail safe period of dropped object is over,It restores the previous dropped version of the table,It creates a new version of the table,,,4,"After dropping an object, creating an object with the same name does not restore the object. Instead, it creates a new version of the object. The original, dropped version is still available and can be restored. Restoring a dropped object restores the object in place (i.e. it does not create a new object). Refer Link –https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period",https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period,Test 2,2
5,Resource monitor notifications can be received by account administrators through the following ways,Email,Web Interface,SMS,Push Notification,,,"1, 2","Notifications can be received by account administrators through the web interface and/or email; however, by default, notifications are not enabled: To receive notifications, each account administrator must explicitly enable notifications through their preferences in the web interface. In addition, if an account administrator chooses to receive email notifications, they must provide a valid email address (and verify the address) before they will receive any emails.",,Test 2,2
6,There is no additional storage charges with rekeying of data in Fail-safe.,TRUE,FALSE,,,,,2,"Snowflake customers are charged with additional storage for Fail-safe protection of data files that were rekeyed. For these files, 7 days of Fail-safe protection is charged. That is, the data files with the old key on S3 are already protected by Fail-safe, and the data files with the new key on S3 are also added to Fail-safe, leading to a second charge, but only for the 7-day period.",,Test 2,2
7,Fail-safe is not provided as a means for accessing historical data after the Time Travel retention period has ended. It is for use only by Snowflake to recover data that may have been lost or damaged due to extreme operational failures,TRUE,FALSE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/data-failsafe.html,https://docs.snowflake.com/en/user-guide/data-failsafe.html,Test 2,2
8,Tri-Secret Secure option is available in which Snowflake Edition,Enterprise & higher,Business Critical & higher,All editions,,,,2,Refer Link -https://docs.snowflake.com/en/user-guide/security-encryption.html#encryption-key-rotation,,Test 2,2
9,"What happens to the data of a table that is currently in time travel, when the retention period of a table is increased? E.g. The retention period is increased from 10 days to 20 days.","When data retention is changed, all the data in time travel moves to fail safe by default",The data in time travel will be retained as per previous retention period only i.e. for 10 days only,None is true,The data in time travel will be retained for the extended period of retention period i.e. for 20 days,,,4,Refer Link –https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period,https://docs.snowflake.com/en/user-guide/data-time-travel.html#data-retention-period,Test 2,2
10,It is not possible to suspend a specific cluster in a multi-cluster virtual warehouse but rather the whole virtual warehouse is suspended.,FALSE,TRUE,,,,,2,"True. Individual clusters in a virtual warehouse can not be controlled independently, but rather they appear logically as a virtual warehouse together.",,Test 2,2
11,Which minimum Snowflake license allows Mulitcluster data virtual warehouse capability?,Standard,VPS,Enterprise,Business Critical,,,3,The multi cluster virtual warehouse capability is available starting from the Enterprise Edition. The capability is not available in Standard or Premier,,Test 2,2
12,"When a table data changes (for e.g. few records are updated and few are deleted) and the table is within the time travel retention period, which of the following statement is true?",Snowflake maintains only the information pertaining to these changed records (i.e. updated & deleted ones),Snowflake takes a full copy of the table every time any change is made to the table,,,,,1,"Snowflake minimizes the amount of storage required for historical data by maintaining only the information required to restore the individual table rows that were updated or deleted. As a result, storage usage is calculated as a percentage of the table that changed. Full copies of tables are only maintained when tables are dropped or truncated.",,Test 2,2
13,Maximum historical data that can be maintained of Transient & Temporary table is?,7 Days,0 Day,1 Day,90 Days,,,3,"Transient and temporary tables have no Fail-safe period, and maximum time travel retention period for them can be 1 day. Refer Link –https://docs.snowflake.com/en/user-guide/data-cdp-storage-costs.html",https://docs.snowflake.com/en/user-guide/data-cdp-storage-costs.html,Test 2,2
14,Multi cluster virtual warehouses are designed to handle –,Queuing issues,Large Complex Queries,Large number of concurrent users (executing query at same time),Large number of concurrent queries,,,"1, 3, 4",The primary purpose of Multi cluster virtual warehouses is to improve queueing and concurrency issues. Large Complex queries can be handled by increasing the size of the warehouse.https://docs.snowflake.net/manuals/user-guide/warehouses-considerations.html#multi-cluster-warehouses-improve-concurrency,https://docs.snowflake.net/manuals/user-guide/warehouses-considerations.html#multi-cluster-warehouses-improve-concurrency,Test 2,2
15,Which of the following Snowflake Editions allow only a maximum of 1 day of time travel?,VPS,Business Critical,Standard,Enterprise,,,3,"Refer link –https://www.snowflake.com/pricing/pricing-guide/Standard allows 1 day, while rest allows 90 days",https://www.snowflake.com/pricing/pricing-guide/,Test 2,2
16,"Which scaling policy, conserves credits by favoring keeping running clusters fully-loaded rather than starting additional clusters, which may result in queries being queued and taking longer to complete?",Standard,Legacy,None,Economy,,,4,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 2,2
17,Time Travel and Fail safe are one and the same thing?,TRUE,FALSE,,,,,2,"Both Time Travel and Fail safe are part of Snowflake Continous Data Protection lifecycle, however both are different. With Time Travel customer themselves can query the data within the retention period which is configurable, whereas fail-safe provides a (non-configurable) 7-day period during which historical data is recoverable by Snowflake. This period starts immediately after the Time Travel retention period ends.",,Test 2,2
18,After how many days account and table master keys are automatically rotated by Snowflake?,60,45,90,30,,,4,"Account and table master keys are automatically rotated by Snowflake when they are more than 30 days old. Active keys are retired, and new keys are created. Refer Link –https://docs.snowflake.com/en/user-guide/security-encryption.html#encryption-key-rotation",https://docs.snowflake.com/en/user-guide/security-encryption.html#encryption-key-rotation,Test 2,2
19,What is the benefit of client-side encryption in snowflake?,It provides a secure system for managing data in cloud storage,Helps in decrypting data faster when needed,None,Saves the cloud encryption cost,,,1,"Client-side encryption in general, is the most secure form of managing data on a cloud provider. With client-side encryption, the data is encrypted on the client before it is uploaded. That means, the cloud provider only stores the encrypted version of the data and never sees data in the clear.",,Test 2,2
20,"When a warehouse is suspended, the idle servers in that warehouse are immediately shut down, but any servers that are executing queries are allowed to run until the queries are completed. Such servers that are waiting to shut down are considered to be in which mode?",Quiet,Quiesce,Suspending,Shutting Down,,,2,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-tasks.html,https://docs.snowflake.com/en/user-guide/warehouses-tasks.html,Test 2,2
21,Snowflake can load from data staged in which of the following?,Azure Blob Storage,Oracle Cloud Storage,VMWare Storage,Snowflake Internal Stage,Google Cloud Storage,AWS S3,"1, 4, 5, 6","Snowflake supports loading from Internal Stage, AWS S3, Azure Blob and Google Cloud Storage. Please see below link for more detailshttps://docs.snowflake.net/manuals/user-guide/data-load-overview.html#loading-from-data-files-staged-on-other-cloud-platforms",https://docs.snowflake.net/manuals/user-guide/data-load-overview.html#loading-from-data-files-staged-on-other-cloud-platforms,Test 2,2
22,"If a transaction is running on a session and the session disconnects abruptly, the transaction will be in a detached state. It will not allow the transaction to commit or roll back. The locks on the resources will also not be released. If you do not do anything and let snowflake abort the transaction, how long will you need to wait?",2 Hours,4 Hours,15 Minutes,30 Minutes,1 Hour,,2,"If a transaction is running in a session and the session disconnects abruptly, preventing the transaction from committing or rolling back, the transaction is left in a detached state, including any locks that the transaction is holding on resources. If this happens, you might need to abort the transaction. To abort a running transaction, the user who started the transaction or an account administrator can call the system function, SYSTEM$ABORT_TRANSACTION. If the transaction is left open, Snowflake typically rolls back the transaction after it has been idle for four hours. Refer Link –https://docs.snowflake.com/en/sql-reference/transactions.html#aborting-transactions",https://docs.snowflake.com/en/sql-reference/transactions.html#aborting-transactions,Test 2,2
