number,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,explanation,reference_url,source_file,test_number
40,Which are the correct statements about Snowflake data Storage?,Encryption on demand,Automatic Micro-partitioning,Hybrid Columnar Storage,Natural data clustering and optimization,,,2, 3, 4,Snowflake stores the data in hybrid columnar format in micro-partitions. Snowflake has some level of natural data clustering and optimization capabilities. All the data in rest or in motion are always encrypted.,,Test 11,11
41,Which of the following are performed by the Cloud Services layer? (Select 4),User Authentication,Data Security,Metadata Management,Metadata Storage,Availability Zone Management,,1, 2, 3, 4,"Availability zone management is managed by Cloud Provider (like, AWS, AZURE, GCP) not by Snowflake Cloud Services layer.",,Test 11,11
43,What is the maximum Time-Travel retention period of Standard Edition?,90 days,0 days,7 days,1 day,,,4,"For Snowflake Standard Edition, the retention period can be set to 0 (or unset back to the default of 1 day) at the account and object level (i.e. databases, schemas, and tables).",,Test 11,11
44,Stages which do not support File Formats are :,Internal named Stage,External Named Stage,Internal User Stage,Internal Table Stage,,,3, 4,Table Stage and User Stage are created automatically whenever a table is created or a new user is added into the system respectively. They dont support setting up the file format.,,Test 11,11
46,Which actions are not supported with shared data?,Can be re-shared by data consumer,Time Travel for a shared database or any schemas/tables in the database,Creating a clone of a shared database or any schemas/tables in the database,Editing the comments for a shared database,,,1, 2, 3, 4,"Share is just for read, not for cloning or time-travel query or any edit.",,Test 11,11
47,How much is the Time-Travel retention period of Permanent Table (in Standard Edition)?,1 day,7 days,0 days,90 days,,,1,Permanent Table has maximum of 1 day for Standard Edition and maximum of 90 days Time-Travel retention period for all other Snowflake editions.,,Test 11,11
48,Scaling up can be configured as automated process.,FALSE,TRUE,,,,,1,Scaling Up is a manual process as of now.,,Test 11,11
50,"As an ACCOUNTADMIN, how can you find the credit usage of a warehouse?",Run SQL query on ACCOUNT_USAGE table under Snowflake Database,Run SQL query on WAREHOUSE_METERING_HISTORY view under ACCOUNT_USAGE Schema,Using Web interface > Account > Usage,Run SQL query on METERING_HISTORY view under ACCOUNT_USAGE Schema,,,2, 3, 4,Using Web interface > Account > Usage section. AND using SQL – ACCOUNT_USAGE: – Query the METERING_HISTORY to view hourly usage for an account. – Query the METERING_DAILY_HISTORY to view daily usage for an account. – Query the WAREHOUSE_METERING_HISTORY to view usage for a warehouse. – Query the QUERY_HISTORY to view usage for a job. INFORMATION_SCHEMA: – Query the QUERY_HISTORY table function.,,Test 11,11
52,Zero Copy Cloning allows users to have multiple copies of your data without the additional cost of storage usually associated with replicating data. Which other statements about the Cloning features in Snowflake are True?,Cloning is an efficient and cost effective approach for code migration for Agile Release Management,Clone is a point in time version of the table data as of the time the clone was made,The clone is a pointer to the original table data,Any new record in the parent table gets available in the cloned table,,,1, 2, 3,New record doesn‘t get available in cloned table because cloning is “point in time version“ means only the data which were available at the time of cloning get available in cloned table.,,Test 11,11
53,Which objects are securable objects in Snowflake?,Table,Database,File Format,Warehouse,,,1, 2, 3, 4,"All of these are securable objects in Snowflake. Securable Object is an entity to which access can be granted. Unless allowed by a grant, access will be denied.",,Test 11,11
56,"When a warehouse is resized, which queries make use of the new size?",Only currently running queries,Only subsequent queries,Both current and subsequent queries,,,,2,"The current running queries keep running on the old size server. Only subsequent queries run on new Sized Virtual Warehouse. If queries processed by a warehouse are running slowly, you can always resize the warehouse to provision more servers. The additional servers do not impact any queries that are already running, but they are available for use by any queries that are queued or newly submitted.",,Test 11,11
57,What actions can be performed when an error is encountered while loading data from a file?,Continue loading the file.,Abort the load operation,skip file when the number of errors in the file is equal to 10,Skip file,,,1, 2, 3, 4,All these actions can be taken. You can specify one or more of the following copy options : CONTINUE SKIP_FILE SKIP_FILE_(e.g. SKIP_FILE_10) SKIP_FILE_% (e.g. SKIP_FILE_10%) ABORT_STATEMENT,,Test 11,11
58,Please choose the correct statements about Micro-Partitions (Select 2),Snowflake micro-partitions are derived automatically,"Micro-partitions are small in size (50 to 500 MB, after compression)",Snowflake automatically determines the most efficient compression algorithm for the columns in each micro-partition.,Micro-partitions can‘t overlap in their range of values,,,1, 3,"Snowflake takes care of all the compression algorithm. Micro-partitions can overlap in their range of values, which, combined with their uniformly small size, helps prevent skew. The micro-partitions are small in size (50 to 500 MB, BEFORE compression).",,Test 11,11
60,If a DBA_ROLE creates a Database. Later the DBA_ROLE was dropped. Who will own the Database now which was created by DBA_ROLE?,No one can access,Database will be dropped,Role who dropped the DBA_ROLE,DBA_ROLE cant be dropped as it is the owner of the Database.,,,3,The role who dropped the DBA_ROLE will own that database. (IMPORTANT QUESTION),,Test 11,11
